[2017-01-28 01:52:56.225] [INFO] asan - { uv: 0, temp: 0, gas: 0, gps: [] }
[2017-01-28 01:52:59.256] [INFO] asan - { uv: 0, temp: 669.5, gas: 320.5, gps: [] }
[2017-01-28 01:53:02.260] [INFO] asan - { uv: 0, temp: 669.5, gas: 323.5, gps: [] }
[2017-01-28 01:53:05.264] [INFO] asan - { uv: 0, temp: 667, gas: 321, gps: [] }
[2017-01-28 01:53:08.273] [INFO] asan - { uv: 0, temp: 672, gas: 325, gps: [] }
[2017-01-28 01:53:11.277] [INFO] asan - { uv: 1, temp: 670, gas: 342, gps: [] }
[2017-01-28 01:53:14.279] [INFO] asan - { uv: 1, temp: 670, gas: 334, gps: [] }
[2017-01-28 01:53:17.282] [INFO] asan - { uv: 0, temp: 671, gas: 330, gps: [] }
[2017-01-28 01:53:20.287] [INFO] asan - { uv: 1, temp: 672, gas: 326, gps: [] }
[2017-01-28 01:53:23.294] [INFO] asan - { uv: 0, temp: 674, gas: 319, gps: [] }
[2017-01-28 01:53:26.302] [INFO] asan - { uv: 0.5, temp: 670, gas: 319, gps: [] }
[2017-01-28 01:53:29.308] [INFO] asan - { uv: 0, temp: 673.5, gas: 327.5, gps: [] }
[2017-01-28 01:53:32.311] [INFO] asan - { uv: 0, temp: 675, gas: 334, gps: [] }
[2017-01-28 01:53:35.314] [INFO] asan - { uv: 1, temp: 674.5, gas: 319.5, gps: [] }
[2017-01-28 01:53:38.316] [INFO] asan - { uv: 0, temp: 674.5, gas: 324, gps: [] }
[2017-01-28 01:53:41.320] [INFO] asan - { uv: 1, temp: 677, gas: 316, gps: [] }
[2017-01-28 01:53:44.323] [INFO] asan - { uv: 1, temp: 675, gas: 318, gps: [] }
[2017-01-28 01:53:47.326] [INFO] asan - { uv: 1, temp: 674, gas: 315.5, gps: [] }
[2017-01-28 01:53:50.331] [INFO] asan - { uv: 0, temp: 674, gas: 318, gps: [] }
[2017-01-28 01:53:53.333] [INFO] asan - { uv: 0, temp: 673, gas: 315, gps: [] }
[2017-01-28 01:53:56.338] [INFO] asan - { uv: 0, temp: 674.5, gas: 317.5, gps: [] }
[2017-01-28 01:53:59.345] [INFO] asan - { uv: 0.5, temp: 673, gas: 316, gps: [] }
[2017-01-28 01:54:02.349] [INFO] asan - { uv: 0.5, temp: 675, gas: 314.5, gps: [] }
[2017-01-28 01:54:05.352] [INFO] asan - { uv: 0.5, temp: 674, gas: 315, gps: [] }
[2017-01-28 01:54:08.357] [INFO] asan - { uv: 0.5, temp: 674, gas: 318, gps: [] }
[2017-01-28 01:54:11.359] [INFO] asan - { uv: 0.5, temp: 673.5, gas: 320, gps: [] }
[2017-01-28 01:54:14.363] [INFO] asan - { uv: 0.5, temp: 675, gas: 319, gps: [] }
[2017-01-28 01:54:17.367] [INFO] asan - { uv: 0, temp: 674, gas: 318, gps: [] }
